,train_loss,train_aac,eval_loss,eval_aac
0,0.004582397391398748,0.33125,0.005493921637535096,0.3
1,0.004575467457373937,0.35375,0.005487436254819234,0.3
2,0.00456425259510676,0.3416666666666667,0.00550933023293813,0.3
3,0.004537873715162277,0.36,0.0054675296942392985,0.3016666666666667
4,0.004493286410967509,0.40041666666666664,0.00535717229048411,0.4166666666666667
5,0.00444159319003423,0.42833333333333334,0.005343146125475566,0.4066666666666667
6,0.004349425981442134,0.47458333333333336,0.005390855471293131,0.3933333333333333
7,0.004303494493166605,0.4795833333333333,0.0052690041065216065,0.44666666666666666
8,0.004327352146307627,0.4766666666666667,0.005332164963086446,0.43
9,0.004242624044418335,0.49875,0.005309827327728271,0.41333333333333333
10,0.0041901906579732895,0.5245833333333333,0.005341151754061381,0.41
11,0.004177453890442848,0.5233333333333333,0.005349237322807312,0.4166666666666667
12,0.004100998838742574,0.5504166666666667,0.005351847211519877,0.4083333333333333
13,0.004032565106948217,0.5608333333333333,0.005312845508257548,0.4483333333333333
14,0.0039512942234675085,0.5920833333333333,0.005281264583269755,0.44
15,0.00390432578821977,0.61125,0.005229292710622151,0.465
16,0.003882147843639056,0.6158333333333333,0.005311918059984843,0.4816666666666667
17,0.0038493638734022778,0.6291666666666667,0.0052786091963450115,0.4583333333333333
18,0.003789658397436142,0.6429166666666667,0.005268818736076355,0.4666666666666667
19,0.0037375285476446154,0.6566666666666666,0.005254929463068644,0.4683333333333333
20,0.0036300348987181983,0.68625,0.005308151443799336,0.4583333333333333
21,0.003598134865363439,0.6941666666666667,0.005277653137842814,0.45666666666666667
22,0.0035457439223925274,0.71125,0.005240233540534973,0.4716666666666667
23,0.003500854050119718,0.7275,0.005246315598487854,0.4766666666666667
24,0.0034538884460926056,0.7308333333333333,0.005331914822260538,0.4866666666666667
25,0.0034402403732140857,0.7366666666666667,0.005308834115664164,0.4816666666666667
26,0.0033940047522385917,0.7470833333333333,0.005250979463259379,0.48333333333333334
27,0.0033843212326367697,0.75125,0.005262547334035237,0.485
28,0.0033371411512295407,0.7625,0.005161307950814565,0.49
29,0.003302530546983083,0.7725,0.005291645129521688,0.48
30,0.0032516609132289885,0.7775,0.005237971742947896,0.49833333333333335
